Atlas id,Acryonm,[stim] fraction of significance,[stim] lower CL,,[choice] fraction of significance,[choice] lower CL,,[block] fraction of significance,[block] lower CL,,[feeback]fracion of significance,[feeback] lower CL
484682470,ProS,0.079470199,0.031166188,,0.072847682,0.040602833,,0.01986755,0.001282955,,0.8125,0.695583854
589508447,HATA,,,,,,,,,,,
484682508,APr,,,,,,,,,,,
583,CLA,,,,,,,,,,,
952,EPd,0.019607843,0.002623633,,0.039215686,0.000810146,,0.019607843,0.002623633,,0.787878788,0.60940907
966,EPv,0,0,,0,0,,0.045454545,0.009808045,,,
131,LA,,,,,,,,,,,
295,BLA,0.032786885,0.007981717,,0.039215686,0.000580523,,0.05,0.005103761,,,
319,BMA,0.066666667,0.013322824,,0.116666667,0.055772661,,0.071428571,0.029575293,,0.483301795,0.156907237
780,PA,0.01754386,0.002360781,,0.045454545,0.006209619,,0.122807018,0.038847373,,0.503445305,0.194201088
672,CP,0.076326003,0.058240547,,0.142105263,0.11071606,,0.083700441,0.050470633,,0.791894761,0.754492383
56,ACB,0.057291667,0.019007174,,0.083333333,0.051517703,,0.046875,0.024465474,,0.810055866,0.745423397
998,FS,,,,,,,,,,,
754,OT,0,0,,0.05,0.00610917,,0.05,0.006109171,,,
250,LSc,,,,,,,,,,,
258,LSr,0.080157687,0.058270798,,0.071530758,0.04010134,,0.044678055,0.026384456,,0.714265348,0.662767743
266,LSv,0.071428571,0.026473078,,0.089285714,0.011603679,,0.089285714,0.036914781,,0.789660745,0.500043199
310,SF,,,,,,,,,,,
333,SH,,,,,,,,,,,
23,AAA,,,,,,,,,,,
292,BA,,,,,,,,,,,
536,CEA,0,0,,0.044444444,0.010709066,,0.036363636,0.00165452,,0.775,0.615594022
1105,IA,,,,,,,,,,,
403,MEA,0.126315789,0.030983559,,0.094736842,0.049607477,,0.105263158,0.046249023,,0.701450523,0.572250117
1022,GPe,0.068965517,0.025572246,,0.275862069,0.174599365,,0.034482759,0.008382219,,0.943239025,0.792167965
1031,GPi,,,,,,,,,,,
342,SI,0.046875,0.01486112,,0.140625,0.055401417,,0.015625,0.002113546,,0.779999994,0.640977356
298,MA,,,,,,,,,,,
564,MS,0.048780488,0.001014234,,0.12195122,0.050275183,,0.048780488,0.011707873,,0.80487805,0.650352816
596,NDB,,,,,,,,,,,
581,TRS,,,,,,,,,,,
351,BST,0.057971014,0.017610939,,0.043478261,0.013802321,,0.086956522,0.038014527,,0.839999994,0.630014512
629,VAL,0.015384615,0.002082379,,0.2,0.118599062,,0.061538462,0.022850339,,0.938461533,0.844681912
685,VM,,,,,,,,,,,
718,VPL,0.053846154,0.001130106,,0.092307692,0.039478194,,0.076923077,0.041641729,,0.890929953,0.775595137
725,VPLpc,,,,,,,,,,,
733,VPM,0.093457944,0.069233028,,0.109181141,0.064818994,,0.072429907,0.039526672,,0.869888478,0.82392276
741,VPMpc,,,,,,,,,,,
563807435,PoT,0.108108108,0.054355145,,0.040540541,0.012884231,,0.013513514,0.001838324,,0.848728002,0.648600507
406,SPF,,,,,,,,,,,
