,pid,Beryl,nclus,#pids
702,46448da7-ad7b-4ca8-b3ab-2d1d47439cbf,SCs,11,19
704,3675290c-8134-4598-b924-83edb7940269,MRN,10,74
705,3675290c-8134-4598-b924-83edb7940269,SCm,18,38
709,82765a73-2a03-42ca-ba98-194247caa62e,MG,21,12
710,82765a73-2a03-42ca-ba98-194247caa62e,LGd,11,20
715,adca9242-0725-41d4-8eb1-5655a464431d,LSr,45,24
717,adca9242-0725-41d4-8eb1-5655a464431d,ACAv,24,13
718,adca9242-0725-41d4-8eb1-5655a464431d,ACAd,21,15
719,adca9242-0725-41d4-8eb1-5655a464431d,MOs,41,39
720,e8129a86-b5a9-4d2e-9e9c-09689c9bf0b3,COAp,12,12
721,e8129a86-b5a9-4d2e-9e9c-09689c9bf0b3,PA,21,10
723,e8129a86-b5a9-4d2e-9e9c-09689c9bf0b3,ZI,12,34
725,e8129a86-b5a9-4d2e-9e9c-09689c9bf0b3,VPM,30,33
726,e8129a86-b5a9-4d2e-9e9c-09689c9bf0b3,PO,11,42
727,e8129a86-b5a9-4d2e-9e9c-09689c9bf0b3,LP,10,59
728,6a22a5b4-79ec-4b3c-b023-1ec7b4a2b675,LSr,57,24
729,6a22a5b4-79ec-4b3c-b023-1ec7b4a2b675,IG,12,2
730,6a22a5b4-79ec-4b3c-b023-1ec7b4a2b675,ACAv,47,13
731,6a22a5b4-79ec-4b3c-b023-1ec7b4a2b675,ACAd,84,15
734,aab5be05-5c1c-4c08-9739-1274bc3bcf4f,ZI,11,34
738,aab5be05-5c1c-4c08-9739-1274bc3bcf4f,APN,39,40
740,26af22bb-b295-4a45-8ed3-1700604c0708,LSr,41,24
742,26af22bb-b295-4a45-8ed3-1700604c0708,ACAv,31,13
743,26af22bb-b295-4a45-8ed3-1700604c0708,ACAd,18,15
744,26af22bb-b295-4a45-8ed3-1700604c0708,MOs,22,39
745,f44d2056-644c-4769-a189-7efe67b0269d,SNr,11,14
748,f44d2056-644c-4769-a189-7efe67b0269d,APN,10,40
752,45e7731f-4a43-45d5-9029-c080150bc596,LSr,25,24
753,45e7731f-4a43-45d5-9029-c080150bc596,TTd,24,11
754,45e7731f-4a43-45d5-9029-c080150bc596,ACAv,14,13
755,45e7731f-4a43-45d5-9029-c080150bc596,PL,43,15
756,45e7731f-4a43-45d5-9029-c080150bc596,ACAd,31,15
757,45e7731f-4a43-45d5-9029-c080150bc596,MOs,57,39
759,b749446c-18e3-4987-820a-50649ab0f826,PO,33,42
760,b749446c-18e3-4987-820a-50649ab0f826,LP,16,59
761,b749446c-18e3-4987-820a-50649ab0f826,DG,13,95
762,b749446c-18e3-4987-820a-50649ab0f826,CA1,10,118
763,b749446c-18e3-4987-820a-50649ab0f826,VISa,64,41
765,10ef1dcd-093c-4839-8f38-90a25edefb49,MRN,10,74
767,10ef1dcd-093c-4839-8f38-90a25edefb49,PAG,32,36
768,b98f6b89-3de4-4295-be1c-59e465de1e32,PIR,47,19
769,b98f6b89-3de4-4295-be1c-59e465de1e32,AIp,19,4
770,b98f6b89-3de4-4295-be1c-59e465de1e32,CLA,15,4
771,b98f6b89-3de4-4295-be1c-59e465de1e32,CP,20,58
772,b98f6b89-3de4-4295-be1c-59e465de1e32,SSs,28,7
773,b98f6b89-3de4-4295-be1c-59e465de1e32,SSp-n,25,4
775,530f1670-9412-44ac-afdb-935d46bcaad3,MRN,17,74
776,530f1670-9412-44ac-afdb-935d46bcaad3,SCm,32,38
782,97207d87-3fcd-4ebb-b0c7-087bdbf8a95c,MRN,47,74
783,97207d87-3fcd-4ebb-b0c7-087bdbf8a95c,SCm,30,38
785,97207d87-3fcd-4ebb-b0c7-087bdbf8a95c,RSPd,17,21
787,97207d87-3fcd-4ebb-b0c7-087bdbf8a95c,VISp,23,26
788,0c42a3d2-beb7-4b7b-a9b5-1eea6c51e1f4,PVT,22,8
791,0c42a3d2-beb7-4b7b-a9b5-1eea6c51e1f4,LSc,12,8
792,0c42a3d2-beb7-4b7b-a9b5-1eea6c51e1f4,ACAv,20,13
793,0c42a3d2-beb7-4b7b-a9b5-1eea6c51e1f4,ACAd,11,15
795,f0dfd1c1-d315-4cf8-9130-05d3be2ea0cb,VII,13,3
796,f0dfd1c1-d315-4cf8-9130-05d3be2ea0cb,IRN,16,22
803,1d547041-230a-4af3-ba6a-7287de2bdec3,CENT2,14,10
805,1d547041-230a-4af3-ba6a-7287de2bdec3,IC,32,16
808,50445b30-f4ef-4405-b014-1d792ddfed88,MRN,14,74
809,50445b30-f4ef-4405-b014-1d792ddfed88,PAG,11,36
815,825ba9b8-ce03-49b7-b1a8-4d85ae2185af,IC,10,16
817,3017e4dc-2150-43ad-9b08-b95b48ba8dfa,PA,16,10
818,3017e4dc-2150-43ad-9b08-b95b48ba8dfa,MEA,30,9
819,3017e4dc-2150-43ad-9b08-b95b48ba8dfa,VPL,16,17
822,70da415f-444d-4148-ade7-a1f58a16fcf8,PoT,12,19
825,70da415f-444d-4148-ade7-a1f58a16fcf8,LP,29,59
831,70da415f-444d-4148-ade7-a1f58a16fcf8,VISa,34,41
835,437f43e1-9c8f-4be9-ac89-97885b0e03d0,CENT3,20,19
837,aecd7612-b5c5-4ad2-9e76-e5b783387e47,GRN,16,12
838,aecd7612-b5c5-4ad2-9e76-e5b783387e47,CENT2,22,10
842,8d661567-49f3-4547-997d-a345c0ffe2dd,AIp,54,4
843,8d661567-49f3-4547-997d-a345c0ffe2dd,VISC,30,2
844,8d661567-49f3-4547-997d-a345c0ffe2dd,SSs,32,7
847,1a276285-8b0e-4cc9-9f0a-a3a002978724,EPd,31,8
848,1a276285-8b0e-4cc9-9f0a-a3a002978724,CP,92,58
849,1a276285-8b0e-4cc9-9f0a-a3a002978724,SSp-m,109,11
852,72274871-80e5-4fb9-be1a-bb04acebb1de,ProS,25,15
855,ad315779-2b39-46c4-8348-b166e796fa7c,ILA,43,9
856,ad315779-2b39-46c4-8348-b166e796fa7c,PL,47,15
857,ad315779-2b39-46c4-8348-b166e796fa7c,ACAd,12,15
859,df350b09-a420-42bb-9952-17862cbb9f1c,AON,59,14
860,df350b09-a420-42bb-9952-17862cbb9f1c,ORBvl,177,7
862,df350b09-a420-42bb-9952-17862cbb9f1c,PL,16,15
863,df350b09-a420-42bb-9952-17862cbb9f1c,MOs,47,39
864,41ea689a-7e05-463b-915a-90e63b8c0572,PIR,15,19
865,41ea689a-7e05-463b-915a-90e63b8c0572,AIv,30,5
866,41ea689a-7e05-463b-915a-90e63b8c0572,AId,46,10
867,41ea689a-7e05-463b-915a-90e63b8c0572,MOp,60,30
871,cc9d666c-6fe5-418d-9b37-114428d25454,SUB,19,22
873,cc9d666c-6fe5-418d-9b37-114428d25454,VISpm,13,11
876,a8adabd7-7979-4fcf-99e7-d9bd9d27896f,ACB,20,19
877,a8adabd7-7979-4fcf-99e7-d9bd9d27896f,CP,18,58
883,2122d807-13ab-494e-a1cc-e55cf24d3e9f,MOp,55,30
884,1df6ebb3-9d16-4c0f-96cc-e1b1596d2006,PIR,34,19
885,1df6ebb3-9d16-4c0f-96cc-e1b1596d2006,AUDv,23,7
886,1df6ebb3-9d16-4c0f-96cc-e1b1596d2006,AUDp,43,5
890,2c401cbd-b95c-4ebe-8a83-92b55ab49542,AId,25,10
891,2c401cbd-b95c-4ebe-8a83-92b55ab49542,MOs,15,39
892,8abf098f-d4f6-4957-9c0a-f53685db74cc,MRN,14,74
893,8abf098f-d4f6-4957-9c0a-f53685db74cc,APN,28,40
894,8abf098f-d4f6-4957-9c0a-f53685db74cc,DG,15,95
896,8abf098f-d4f6-4957-9c0a-f53685db74cc,VISa,56,41
897,8b735d77-b77b-4243-8821-37802bf402fe,ENTl,209,12
898,8b735d77-b77b-4243-8821-37802bf402fe,VISpor,117,6
900,0a0184b3-9e1a-4c36-98f4-00ae3beb8f01,ENTl,34,12
901,0a0184b3-9e1a-4c36-98f4-00ae3beb8f01,SUB,85,22
903,0a0184b3-9e1a-4c36-98f4-00ae3beb8f01,VISli,13,7
904,0a0184b3-9e1a-4c36-98f4-00ae3beb8f01,VISl,18,9
905,625a7bc9-00cf-44f6-a508-3ed89d23ba3a,ENTm,53,12
906,625a7bc9-00cf-44f6-a508-3ed89d23ba3a,SUB,140,22
907,625a7bc9-00cf-44f6-a508-3ed89d23ba3a,VISpor,24,6
908,625a7bc9-00cf-44f6-a508-3ed89d23ba3a,VISli,45,7
909,bbe6ebc1-d32f-42dd-a89c-211226737deb,PoT,24,19
912,bbe6ebc1-d32f-42dd-a89c-211226737deb,DG,11,95
914,bbe6ebc1-d32f-42dd-a89c-211226737deb,VISa,21,41
921,507b20cf-4ab0-4f55-9a81-88b02839d127,PIR,55,19
923,507b20cf-4ab0-4f55-9a81-88b02839d127,CP,81,58
924,507b20cf-4ab0-4f55-9a81-88b02839d127,SSp-m,22,11
928,f2a098e7-a67e-4125-92d8-36fc6b606c45,CA1,11,118
929,f2a098e7-a67e-4125-92d8-36fc6b606c45,VISa,24,41
931,4279e354-a6b8-4eff-8245-7c8723b07834,CP,92,58
932,4279e354-a6b8-4eff-8245-7c8723b07834,SSp-m,21,11
934,3282a590-8688-44fc-9811-cdf8b80d9a80,TEa,27,6
935,3282a590-8688-44fc-9811-cdf8b80d9a80,AUDv,21,7
936,3282a590-8688-44fc-9811-cdf8b80d9a80,AUDp,58,5
938,3282a590-8688-44fc-9811-cdf8b80d9a80,SSs,15,7
941,ff5fceaf-8247-42ab-a187-f7876441899d,AON,24,14
942,ff5fceaf-8247-42ab-a187-f7876441899d,ORBl,43,9
943,ff5fceaf-8247-42ab-a187-f7876441899d,FRP,12,10
945,100433fa-2c59-4432-8295-aa27657fe3fb,ECT,17,5
946,100433fa-2c59-4432-8295-aa27657fe3fb,TEa,38,6
948,100433fa-2c59-4432-8295-aa27657fe3fb,AUDp,28,5
949,100433fa-2c59-4432-8295-aa27657fe3fb,AUDpo,10,2
950,100433fa-2c59-4432-8295-aa27657fe3fb,AUDd,11,5
952,d591a59c-b49b-46ba-a914-df379ada9813,AON,13,14
954,d591a59c-b49b-46ba-a914-df379ada9813,ORBl,11,9
956,6b6af675-e1ef-43a6-b408-95cfc71fe2cc,PO,37,42
957,6b6af675-e1ef-43a6-b408-95cfc71fe2cc,LD,36,16
959,6b6af675-e1ef-43a6-b408-95cfc71fe2cc,CA1,18,118
960,6b6af675-e1ef-43a6-b408-95cfc71fe2cc,SSp-tr,67,12
961,b2ea68e2-c732-4d17-8166-1a8595fff225,ECT,20,5
962,b2ea68e2-c732-4d17-8166-1a8595fff225,TEa,27,6
963,b2ea68e2-c732-4d17-8166-1a8595fff225,AUDv,28,7
964,b2ea68e2-c732-4d17-8166-1a8595fff225,AUDp,31,5
965,b2ea68e2-c732-4d17-8166-1a8595fff225,AUDd,15,5
966,b2ea68e2-c732-4d17-8166-1a8595fff225,SSs,27,7
967,b2ea68e2-c732-4d17-8166-1a8595fff225,SSp-bfd,14,22
968,49a86b2e-3db4-42f2-8da8-7ebb7e482c70,PIR,10,19
970,49a86b2e-3db4-42f2-8da8-7ebb7e482c70,AId,44,10
971,49a86b2e-3db4-42f2-8da8-7ebb7e482c70,GU,53,3
972,49a86b2e-3db4-42f2-8da8-7ebb7e482c70,SSp-m,52,11
977,1c4e2ebd-59da-4527-9700-b4b2dad6dfb2,SIM,30,16
979,3c283107-7012-48fc-a6c2-ed096b23974f,RN,27,11
980,3c283107-7012-48fc-a6c2-ed096b23974f,MRN,16,74
982,3c283107-7012-48fc-a6c2-ed096b23974f,SCm,26,38
990,d4291925-ad00-47fe-baaf-3fdff0991e86,SCm,12,38
992,d4291925-ad00-47fe-baaf-3fdff0991e86,RSPv,22,20
993,d4291925-ad00-47fe-baaf-3fdff0991e86,RSPd,16,21
995,ad714133-1e03-4d3a-8427-33fc483daf1a,PO,70,42
996,ad714133-1e03-4d3a-8427-33fc483daf1a,LP,21,59
997,ad714133-1e03-4d3a-8427-33fc483daf1a,DG,20,95
998,ad714133-1e03-4d3a-8427-33fc483daf1a,CA1,11,118
999,ad714133-1e03-4d3a-8427-33fc483daf1a,VISa,62,41
1002,d7ec0892-0a6c-4f4f-9d8f-72083692af5c,CUL4 5,19,25
1006,be9a2119-a4d7-4e62-82a1-b1a6623ecc99,ProS,17,15
1007,be9a2119-a4d7-4e62-82a1-b1a6623ecc99,DG,19,95
1008,be9a2119-a4d7-4e62-82a1-b1a6623ecc99,CA1,34,118
1011,f336f6a4-f693-4b88-b12c-c5cf0785b061,CA3,10,59
1013,44fc463b-405f-4048-9242-ac018b9f50f7,VPM,10,33
1014,44fc463b-405f-4048-9242-ac018b9f50f7,PO,55,42
1015,44fc463b-405f-4048-9242-ac018b9f50f7,LP,16,59
1018,44fc463b-405f-4048-9242-ac018b9f50f7,CA1,11,118
1019,44fc463b-405f-4048-9242-ac018b9f50f7,SSp-tr,32,12
1020,818d2996-766a-4fd9-82b8-7e4cb080af0e,RT,10,16
1021,818d2996-766a-4fd9-82b8-7e4cb080af0e,VPL,21,17
1022,818d2996-766a-4fd9-82b8-7e4cb080af0e,CP,19,58
1023,818d2996-766a-4fd9-82b8-7e4cb080af0e,SSp-bfd,16,22
1027,febb430e-2d50-4f83-87a0-b5ffbb9a4943,PoT,17,19
1028,febb430e-2d50-4f83-87a0-b5ffbb9a4943,SGN,21,7
1029,febb430e-2d50-4f83-87a0-b5ffbb9a4943,LP,21,59
1030,febb430e-2d50-4f83-87a0-b5ffbb9a4943,DG,13,95
1031,febb430e-2d50-4f83-87a0-b5ffbb9a4943,CA1,14,118
1032,febb430e-2d50-4f83-87a0-b5ffbb9a4943,VISp,13,26
1034,1a166c4f-4c53-422e-8473-b3cff85e6750,NPC,12,6
1037,1a166c4f-4c53-422e-8473-b3cff85e6750,NOT,10,10
1038,1a166c4f-4c53-422e-8473-b3cff85e6750,SUB,12,22
1039,1a166c4f-4c53-422e-8473-b3cff85e6750,RSPd,16,21
1040,1a166c4f-4c53-422e-8473-b3cff85e6750,RSPagl,14,16
1042,c16b8e98-100f-40ce-b417-b1524c7e1270,ProS,31,15
1043,c16b8e98-100f-40ce-b417-b1524c7e1270,VISl,34,9
1046,b76f24ea-95b1-4a0e-95eb-9c39b1283c40,NB,12,3
1048,b76f24ea-95b1-4a0e-95eb-9c39b1283c40,SUB,25,22
1051,07abb39b-063b-4ef8-b3ab-963c6a1b5cc5,MRN,37,74
1052,07abb39b-063b-4ef8-b3ab-963c6a1b5cc5,RN,13,11
1053,07abb39b-063b-4ef8-b3ab-963c6a1b5cc5,SCm,37,38
1054,07abb39b-063b-4ef8-b3ab-963c6a1b5cc5,SCs,30,19
1056,b9b101cf-24d3-4c2a-8464-bc91b9f0c767,ENTm,14,12
1058,b9b101cf-24d3-4c2a-8464-bc91b9f0c767,VISp,30,26
1062,c6ba6f8e-c13e-410f-b7df-e193ba0d239d,IC,17,16
1063,c6ba6f8e-c13e-410f-b7df-e193ba0d239d,APr,18,3
1064,c6ba6f8e-c13e-410f-b7df-e193ba0d239d,RSPd,13,21
1065,c6ba6f8e-c13e-410f-b7df-e193ba0d239d,RSPagl,18,16
1068,9373cd09-a591-42be-9343-ed6f06b7056d,DCO,10,10
1070,9373cd09-a591-42be-9343-ed6f06b7056d,SIM,18,16
1076,63679ae2-6c87-495b-b888-a7273e545636,CUL4 5,30,25
1078,c2363000-27a6-461e-940b-15f681496ed8,VPM,55,33
1080,c2363000-27a6-461e-940b-15f681496ed8,LD,18,16
1088,b40d8c65-7ee8-4069-8b64-1a3f7907742f,MRN,26,74
1089,b40d8c65-7ee8-4069-8b64-1a3f7907742f,SCm,37,38
1090,b40d8c65-7ee8-4069-8b64-1a3f7907742f,SUB,13,22
1091,b40d8c65-7ee8-4069-8b64-1a3f7907742f,VISp,37,26
1092,ccb501d1-a4fa-41c6-819e-54aaf74d439d,MD,42,13
1097,ccb501d1-a4fa-41c6-819e-54aaf74d439d,RSPagl,28,16
1099,eb99c2c8-e614-4240-931b-169bed23e9f5,LGd,21,20
1103,eb99c2c8-e614-4240-931b-169bed23e9f5,VISrl,41,5
1104,2aea57ac-d3d0-4a09-b6fa-0aa9d58d1e11,PO,39,42
1105,2aea57ac-d3d0-4a09-b6fa-0aa9d58d1e11,LP,11,59
1109,2aea57ac-d3d0-4a09-b6fa-0aa9d58d1e11,VISa,37,41
1110,26118c10-35dd-4ab1-9f0f-b9a89a1da070,BST,11,10
1111,26118c10-35dd-4ab1-9f0f-b9a89a1da070,CP,73,58
1112,26118c10-35dd-4ab1-9f0f-b9a89a1da070,MOp,43,30
1115,898f8971-31e9-4fdb-b66e-2ae6d3a33a5b,LSr,10,24
1116,898f8971-31e9-4fdb-b66e-2ae6d3a33a5b,LSc,10,8
1117,898f8971-31e9-4fdb-b66e-2ae6d3a33a5b,MOs,16,39
1118,898f8971-31e9-4fdb-b66e-2ae6d3a33a5b,MOp,25,30
1120,b7612153-372f-415a-9770-7101fbbbdc59,AV,29,6
1122,b7612153-372f-415a-9770-7101fbbbdc59,SSp-ll,39,7
1125,0e8d3cb3-2e4c-47a0-8bb4-65d2cc3161c6,PVT,10,8
1127,0e8d3cb3-2e4c-47a0-8bb4-65d2cc3161c6,MOp,29,30
1131,9f78a787-c6d5-4e51-b4fb-1552e81eccd5,VM,15,6
1132,9f78a787-c6d5-4e51-b4fb-1552e81eccd5,VAL,63,7
1133,9f78a787-c6d5-4e51-b4fb-1552e81eccd5,LD,25,16
1134,9f78a787-c6d5-4e51-b4fb-1552e81eccd5,SSp-ul,15,12
1135,5c278ffe-6452-4c36-b17f-2050c74e13b1,MEA,12,9
1140,c4f6665f-8be5-476b-a6e8-d81eeae9279d,MRN,13,74
1143,c4f6665f-8be5-476b-a6e8-d81eeae9279d,CA1,10,118
1145,c4f6665f-8be5-476b-a6e8-d81eeae9279d,VISpm,12,11
1146,57acb640-4f64-4a89-bedf-69351a3aea75,AON,58,14
1148,57acb640-4f64-4a89-bedf-69351a3aea75,ORBm,27,8
1150,bebe7c8f-0f34-4c3a-8fbb-d2a5119d2961,PO,14,42
1151,bebe7c8f-0f34-4c3a-8fbb-d2a5119d2961,LD,39,16
1152,bebe7c8f-0f34-4c3a-8fbb-d2a5119d2961,SSp-ul,13,12
1153,4755877d-fd14-42b3-bc15-e1996d153015,SI,13,23
1155,4755877d-fd14-42b3-bc15-e1996d153015,LSr,42,24
1156,4755877d-fd14-42b3-bc15-e1996d153015,LSv,16,12
1159,695476f6-4c14-4a2f-b658-948514629079,VPL,40,17
1161,695476f6-4c14-4a2f-b658-948514629079,SSp-bfd,36,22
1164,4f46198d-c54d-4627-9e4e-3c8fd4c3c070,ACB,13,19
1166,af775340-53d0-43cd-9cda-48e32b95adca,SSp-ul,12,12
1167,b910cbe2-0c68-40b2-b9f1-268e7c28320a,MPO,19,3
1169,b910cbe2-0c68-40b2-b9f1-268e7c28320a,LSv,26,12
1170,b910cbe2-0c68-40b2-b9f1-268e7c28320a,LSr,24,24
1171,ecde7e20-f135-47dd-8f96-adac49e4942e,CP,48,58
1172,ecde7e20-f135-47dd-8f96-adac49e4942e,SSp-ul,34,12
1173,091392a5-73f6-40f3-8552-fa917cf96deb,SMT,16,4
1174,091392a5-73f6-40f3-8552-fa917cf96deb,PCN,15,5
1175,091392a5-73f6-40f3-8552-fa917cf96deb,MD,37,13
1177,091392a5-73f6-40f3-8552-fa917cf96deb,RSPv,15,20
1179,d258bca2-bf18-4491-8d57-5322f705caec,CP,93,58
1180,d258bca2-bf18-4491-8d57-5322f705caec,MOp,79,30
1183,1ef94d02-d51a-491f-a313-1bb5238d6b8b,ACB,33,19
1184,1ef94d02-d51a-491f-a313-1bb5238d6b8b,CP,140,58
1186,b375a0ee-4c5a-4a53-9cea-d753f206e5c5,MOp,52,30
1188,954b1983-e603-4611-ba15-dc2db6f988ab,CL,12,5
1189,954b1983-e603-4611-ba15-dc2db6f988ab,LP,19,59
1192,954b1983-e603-4611-ba15-dc2db6f988ab,SSp-tr,10,12
1195,d1af1003-247b-4f76-988f-d55cbb72aa80,SI,17,23
1196,d1af1003-247b-4f76-988f-d55cbb72aa80,ACB,21,19
1197,d1af1003-247b-4f76-988f-d55cbb72aa80,CP,106,58
1199,03c42ea1-1e04-4a3e-9b04-46d8568dcd02,DCO,20,10
1200,03c42ea1-1e04-4a3e-9b04-46d8568dcd02,DN,21,6
1203,95fd67e6-cbff-4356-80c7-5a03b1bf6b8a,VPM,54,33
1204,95fd67e6-cbff-4356-80c7-5a03b1bf6b8a,LGd,14,20
1208,95fd67e6-cbff-4356-80c7-5a03b1bf6b8a,VISa,14,41
1210,ce99545f-c6a5-4d53-8b68-0ceb78bd942e,SPVI,33,10
1211,ce99545f-c6a5-4d53-8b68-0ceb78bd942e,DCO,26,10
1213,ce99545f-c6a5-4d53-8b68-0ceb78bd942e,IP,23,20
1215,dab512bd-a02d-4c1f-8dbc-9155a163efc0,VPLpc,10,10
1216,dab512bd-a02d-4c1f-8dbc-9155a163efc0,PO,32,42
1217,dab512bd-a02d-4c1f-8dbc-9155a163efc0,Eth,16,16
1218,dab512bd-a02d-4c1f-8dbc-9155a163efc0,LP,24,59
1219,dab512bd-a02d-4c1f-8dbc-9155a163efc0,DG,10,95
1220,dab512bd-a02d-4c1f-8dbc-9155a163efc0,CA1,17,118
1222,cab81176-36cd-4c37-9353-841e85027d36,PSV,28,4
1224,cab81176-36cd-4c37-9353-841e85027d36,PAR,24,6
1232,19c9caea-2df8-4097-92f8-0a2bad055948,PIR,48,19
1233,19c9caea-2df8-4097-92f8-0a2bad055948,EPv,14,6
1234,19c9caea-2df8-4097-92f8-0a2bad055948,CP,120,58
1235,c2184312-2421-492b-bbee-e8c8e982e49e,CS,10,7
1236,c2184312-2421-492b-bbee-e8c8e982e49e,MRN,12,74
1238,c2184312-2421-492b-bbee-e8c8e982e49e,PAG,30,36
1239,c2184312-2421-492b-bbee-e8c8e982e49e,SCm,10,38
1241,11f70c37-a546-439a-9fb7-da6b6ebfb0cb,PRM,27,15
1245,bdb2ec51-d948-4428-b2cc-2c6cd5bf5fe3,LING,13,3
1246,bdb2ec51-d948-4428-b2cc-2c6cd5bf5fe3,CENT2,36,10
1249,f26a6ab1-7e37-4f8d-bb50-295c056e1062,VPM,35,33
1250,f26a6ab1-7e37-4f8d-bb50-295c056e1062,LP,10,59
1255,f26a6ab1-7e37-4f8d-bb50-295c056e1062,VISa,21,41
1257,a6fe3779-2b77-4b66-a625-a6078720e412,ZI,14,34
1258,a6fe3779-2b77-4b66-a625-a6078720e412,MG,52,12
1260,a6fe3779-2b77-4b66-a625-a6078720e412,DG,12,95
1261,a6fe3779-2b77-4b66-a625-a6078720e412,CA1,14,118
1263,fb0de39b-c750-4adc-af18-12bf8a22ed41,POST,21,12
1267,19e0bf1e-018e-40cb-9acd-af8f0f66bd4a,CA3,42,59
1270,63517fd4-ece1-49eb-9259-371dc30b1dd6,VPM,64,33
1271,63517fd4-ece1-49eb-9259-371dc30b1dd6,LGd,13,20
1272,63517fd4-ece1-49eb-9259-371dc30b1dd6,CA3,11,59
1273,63517fd4-ece1-49eb-9259-371dc30b1dd6,CA1,17,118
1274,63517fd4-ece1-49eb-9259-371dc30b1dd6,VISa,35,41
1275,ca5404f7-297c-40f1-bbf0-5ac0a63e24f8,MRN,31,74
1276,ca5404f7-297c-40f1-bbf0-5ac0a63e24f8,RN,16,11
1277,ca5404f7-297c-40f1-bbf0-5ac0a63e24f8,SCm,47,38
1279,ca5404f7-297c-40f1-bbf0-5ac0a63e24f8,RSPv,18,20
1280,1ff5ce1f-5500-444b-ad5f-70f90dd22ac3,CA3,21,59
1282,6d24683c-da42-4610-baf0-7ceee7014394,VPM,22,33
1283,6d24683c-da42-4610-baf0-7ceee7014394,PO,76,42
1284,6d24683c-da42-4610-baf0-7ceee7014394,LD,26,16
1287,6d24683c-da42-4610-baf0-7ceee7014394,CA1,14,118
1288,6d24683c-da42-4610-baf0-7ceee7014394,SSp-tr,14,12
1291,6aa08c75-8ee5-457d-9794-b89ee1c4453f,APN,24,40
1294,c250d4f4-7516-4cf1-a8bd-04873ca9e21c,PRNr,21,12
1295,c250d4f4-7516-4cf1-a8bd-04873ca9e21c,MRN,30,74
1297,c250d4f4-7516-4cf1-a8bd-04873ca9e21c,PAG,27,36
1300,a3ebc7f4-813a-4f06-a33e-9825c878f9c2,PRNr,45,12
1302,a3ebc7f4-813a-4f06-a33e-9825c878f9c2,MRN,24,74
1303,a4d9d9d5-6ea3-4234-aa28-e064e83626fa,MRN,15,74
1304,a4d9d9d5-6ea3-4234-aa28-e064e83626fa,POL,30,13
1308,25a9182c-4795-4768-af47-98975d2d2a8a,IRN,17,22
1310,25a9182c-4795-4768-af47-98975d2d2a8a,PCG,16,4
1313,ba291bec-4492-4d7f-a6aa-483ebb64b3c3,PAG,17,36
1314,ba291bec-4492-4d7f-a6aa-483ebb64b3c3,SCm,24,38
1315,ba291bec-4492-4d7f-a6aa-483ebb64b3c3,SCs,18,19
1320,2400a2fa-0335-480b-ac8d-a478171f3a55,PPN,34,8
1321,2400a2fa-0335-480b-ac8d-a478171f3a55,MRN,33,74
1322,2400a2fa-0335-480b-ac8d-a478171f3a55,POST,10,12
1325,cde137a5-7a93-4968-ab61-5aedbd9ce3fb,IRN,30,22
1326,cde137a5-7a93-4968-ab61-5aedbd9ce3fb,PRNc,30,7
1331,41dc1107-fbcb-4174-a262-19928c355018,RT,10,16
1332,41dc1107-fbcb-4174-a262-19928c355018,VAL,32,7
1333,41dc1107-fbcb-4174-a262-19928c355018,LD,13,16
1335,b939cc85-6028-404a-995d-28c8405a07db,MRN,28,74
1336,b939cc85-6028-404a-995d-28c8405a07db,CUN,13,7
1337,b939cc85-6028-404a-995d-28c8405a07db,SCm,30,38
1340,779fbed1-4b0e-4d7d-8882-6650690221a0,MEA,68,9
1342,779fbed1-4b0e-4d7d-8882-6650690221a0,GPi,16,3
1343,779fbed1-4b0e-4d7d-8882-6650690221a0,RT,29,16
1345,bfda40f8-a7a7-47cd-a439-39fb5cd7873f,PARN,11,15
1346,bfda40f8-a7a7-47cd-a439-39fb5cd7873f,MV,17,19
1351,4f10fbb7-57be-427b-bb1d-a19bd31dc27b,LGv,19,4
1354,4f10fbb7-57be-427b-bb1d-a19bd31dc27b,SSp-bfd,13,22
1356,b73ef9cf-462c-4de3-ae61-5907790ebd0e,HATA,13,6
1359,b73ef9cf-462c-4de3-ae61-5907790ebd0e,DG,23,95
1361,b73ef9cf-462c-4de3-ae61-5907790ebd0e,MG,16,12
1362,df7d2ca7-068b-4df2-9782-8f6bb7d67f18,LGv,28,4
1363,df7d2ca7-068b-4df2-9782-8f6bb7d67f18,CA3,10,59
1365,df7d2ca7-068b-4df2-9782-8f6bb7d67f18,CA1,15,118
1367,2a7caaa4-1710-49a1-ade4-db0a986ae6f5,LSr,54,24
1369,2a7caaa4-1710-49a1-ade4-db0a986ae6f5,MOs,31,39
1372,bef552f5-efd8-4e98-8467-d54ac7c4ef41,PIR,14,19
1373,bef552f5-efd8-4e98-8467-d54ac7c4ef41,CP,82,58
1375,c17772a9-21b5-49df-ab31-3017addea12e,PO,55,42
1376,c17772a9-21b5-49df-ab31-3017addea12e,PoT,10,19
1377,c17772a9-21b5-49df-ab31-3017addea12e,LP,68,59
1380,3530526e-e690-4222-878f-0f9f401fa759,COAp,16,12
1381,3530526e-e690-4222-878f-0f9f401fa759,BMA,23,9
1382,3530526e-e690-4222-878f-0f9f401fa759,BLA,19,5
1383,3530526e-e690-4222-878f-0f9f401fa759,CA3,86,59
1384,b1455ca8-3999-4eb8-9e1e-5c8d0d2e5719,ENTl,11,12
1390,48c02db0-107e-4413-ae6a-60793ec7cc14,AON,140,14
