,pid,Beryl,nclus,#pids
148,ce0dc660-f19e-46a3-94f9-646bebae6805,ENTl,104,12
150,ef7e9f3e-a53a-4e00-8f6a-537667af2bea,ENTm,21,12
151,ef7e9f3e-a53a-4e00-8f6a-537667af2bea,ENTl,17,12
154,4431f9fd-aaa8-4b10-905c-0c6869ea1088,DCO,22,10
155,4431f9fd-aaa8-4b10-905c-0c6869ea1088,DN,10,6
156,4431f9fd-aaa8-4b10-905c-0c6869ea1088,ANcr1,24,8
159,5f7766ce-8e2e-410c-9195-6bf089fea4fd,SIM,21,16
163,e9c04e7e-c075-4ee3-9750-dff255ec7e84,ANcr2,10,14
167,18be19f9-6ca5-4fc8-9220-ba43c3e75905,SNr,15,14
172,18be19f9-6ca5-4fc8-9220-ba43c3e75905,APN,17,40
176,1a60a6e1-da99-4d4e-a734-39b1d4544fad,PO,48,42
177,1a60a6e1-da99-4d4e-a734-39b1d4544fad,LP,33,59
179,1a60a6e1-da99-4d4e-a734-39b1d4544fad,CA1,14,118
180,1a60a6e1-da99-4d4e-a734-39b1d4544fad,VISa,14,41
186,e7080659-8319-48a6-b6fd-2e8ce8eeec49,SCm,19,38
187,e7080659-8319-48a6-b6fd-2e8ce8eeec49,RSPv,43,20
189,7c11adc6-adbd-484f-8ae9-13946285e3f8,VCO,19,3
194,e4632651-5ba7-48a7-86db-5298b45a5bac,PRNc,17,7
197,e4632651-5ba7-48a7-86db-5298b45a5bac,IC,24,16
198,98bde8a6-6b6a-4e53-96b1-9078c3974a97,PIR,10,19
202,98bde8a6-6b6a-4e53-96b1-9078c3974a97,GU,11,3
203,98bde8a6-6b6a-4e53-96b1-9078c3974a97,SSp-m,10,11
204,79fbd14b-bfad-4b28-90a9-3019bf72336f,CP,15,58
205,79fbd14b-bfad-4b28-90a9-3019bf72336f,SSp-n,28,4
206,a4ed0599-4a72-4afb-8fe9-d0d046aec6aa,PFL,10,6
208,f8249eab-d4c2-4fb0-a258-7f4b99fa19e4,PIR,26,19
209,f8249eab-d4c2-4fb0-a258-7f4b99fa19e4,EPd,13,8
211,f8249eab-d4c2-4fb0-a258-7f4b99fa19e4,AId,24,10
213,f8249eab-d4c2-4fb0-a258-7f4b99fa19e4,GU,20,3
214,f8249eab-d4c2-4fb0-a258-7f4b99fa19e4,SSp-m,11,11
215,4e6dfe08-cab0-4a05-903b-94283cb9f8e7,CENT2,26,10
223,7587e3bb-dd11-4853-b48b-feab0b56ae05,LAV,15,6
224,7587e3bb-dd11-4853-b48b-feab0b56ae05,SUV,12,8
231,7dcd74a9-fc7a-4c3c-85b9-769d869629ec,RT,10,16
235,89606895-287e-4559-8536-9830b047af34,NTS,32,11
236,89606895-287e-4559-8536-9830b047af34,CU,13,2
242,450cea3b-9289-4708-9df2-a2518bdc4b59,ACB,10,19
243,450cea3b-9289-4708-9df2-a2518bdc4b59,CP,30,58
244,450cea3b-9289-4708-9df2-a2518bdc4b59,MOs,22,39
245,afecbc7f-10e3-40af-b091-cca9e8df6108,ENTm,33,12
246,afecbc7f-10e3-40af-b091-cca9e8df6108,ENTl,17,12
250,9991277b-9e8e-4db8-b8a6-e2c0176ef9ad,CENT2,11,10
251,9991277b-9e8e-4db8-b8a6-e2c0176ef9ad,CENT3,33,19
253,aeb06797-fddf-4ad2-b0ef-dd1b0f54d034,PRNr,38,12
