,eid,label,mp4,timestamps,frames_match,dlc,features,licks,duration,videoQC,dlcQC,videoQC_focus,videoQC_position,videoQC_framerate,videoQC_pin_state,videoQC_brightness,videoQC_resolution,videoQC_timestamps,videoQC_camera_times,videoQC_file_headers,videoQC_dropped_frames,videoQC_wheel_alignment,dlcQC_paw_far_nan,dlcQC_mean_in_bbox,dlcQC_paw_close_nan,dlcQC_pupil_blocked,dlcQC_trace_all_nan,dlcQC_lick_detection,dlcQC_pupil_diameter_snr,dlcQC_time_trace_length_match
675,113c5b6c-940e-4b21-b462-789b4c2be0e5,left,True,True,True,True,True,True,4047.0,WARNING,PASS,True,True,"[True, 60.126]","[True, 1, 0]",True,True,True,"[True, 0]",True,"[True, 1, 0]","[True, 0]",True,True,True,True,True,True,"[True, 27.363]",True
676,113c5b6c-940e-4b21-b462-789b4c2be0e5,right,True,True,True,True,True,True,4052.0,WARNING,PASS,True,True,"[True, 150.769]","[True, 1, 0]",True,True,True,"[True, 0]",True,"[True, 27, 0]","[True, 2]",True,True,True,True,True,True,"[False, 3.932]",True
677,113c5b6c-940e-4b21-b462-789b4c2be0e5,body,True,True,True,True,False,True,4061.0,WARNING,PASS,True,True,"[True, 30.154]","[True, 1, 0]",True,True,True,"[True, 0]",True,"[True, 0, 0]",,,True,,,True,,,True
678,0b7ee1b6-42db-46cd-a465-08f531366187,left,True,True,True,True,True,True,5065.0,WARNING,WARNING,True,True,"[True, 60.126]","[True, 2, 1]",True,True,True,"[True, 0]",True,"[True, 1, 1]","[True, 1]",True,True,True,True,True,True,"[True, 15.679]",True
679,0b7ee1b6-42db-46cd-a465-08f531366187,right,True,True,True,True,True,True,5071.0,WARNING,PASS,True,True,"[True, 150.769]","[True, 2, 0]",True,True,True,"[True, 0]",True,"[True, 40, 0]","[True, 1]",True,True,True,True,True,True,"[True, 5.909]",True
680,0b7ee1b6-42db-46cd-a465-08f531366187,body,True,True,True,True,False,True,5082.0,WARNING,PASS,True,True,"[True, 30.154]","[True, 2, 0]",True,True,True,"[True, 0]",True,"[True, 0, 0]",,,True,,,True,,,True
681,a4a74102-2af5-45dc-9e41-ef7f5aed88be,left,True,True,True,True,True,True,3278.0,WARNING,FAIL,True,True,"[True, 60.126]","[True, 1, 0]",True,True,True,"[True, 0]",True,"[True, 0, 0]","[True, 60]",False,True,True,True,True,True,"[True, 27.299]",True
682,a4a74102-2af5-45dc-9e41-ef7f5aed88be,right,True,True,True,True,True,True,3282.0,WARNING,PASS,True,True,"[True, 150.769]","[True, 1, 1]",True,True,True,"[True, 0]",True,"[True, 30, 1]","[True, 0]",True,True,True,True,True,True,"[False, 1.701]",True
683,a4a74102-2af5-45dc-9e41-ef7f5aed88be,body,True,True,True,True,False,True,3290.0,WARNING,PASS,True,True,"[True, 30.154]","[True, 1, 0]",True,True,True,"[True, 0]",True,"[True, 0, 0]",,,True,,,True,,,True
684,72cb5550-43b4-4ef0-add5-e4adfdfb5e02,left,True,True,True,True,True,True,6249.0,WARNING,PASS,True,True,"[True, 60.126]","[True, 0, 1]",True,True,True,"[True, 1]",True,"[True, 0, 1]","[True, 1]",True,True,True,True,True,True,"[True, 10.667]",True
685,72cb5550-43b4-4ef0-add5-e4adfdfb5e02,right,True,True,True,True,True,True,6257.0,PASS,PASS,True,True,"[True, 150.769]","[True, 0, 0]",True,True,True,"[True, 0]",True,"[True, 31, 0]","[True, -1]",True,True,True,True,True,True,"[False, 1.326]",True
686,72cb5550-43b4-4ef0-add5-e4adfdfb5e02,body,True,True,True,True,False,True,6271.0,WARNING,PASS,True,True,"[True, 30.154]","[True, 0, 0]",True,True,True,"[True, 0]",True,"[True, 0, 0]",,,True,,,True,,,True
687,d0c91c3c-8cbb-4929-8657-31f18bffc294,left,True,True,True,True,True,True,3732.0,WARNING,PASS,True,True,"[True, 60.126]","[True, 91, 1]",True,True,True,"[True, 0]",True,"[True, 0, 1]","[True, -1]",True,True,True,True,True,True,"[False, 1.025]",True
688,d0c91c3c-8cbb-4929-8657-31f18bffc294,right,True,True,True,True,True,True,3736.0,WARNING,FAIL,True,True,"[True, 150.769]","[True, 91, 0]",True,True,True,"[True, 0]",True,"[True, 20, 0]","[True, 1]",False,True,True,True,True,True,"[False, 1.707]",True
689,d0c91c3c-8cbb-4929-8657-31f18bffc294,body,True,True,True,True,False,True,3744.0,WARNING,PASS,True,True,"[True, 30.154]","[True, 92, 0]",True,True,True,"[True, 0]",True,"[True, 0, 0]",,,True,,,True,,,True
690,6f6d2c8e-28be-49f4-ae4d-06be2d3148c1,left,True,True,True,True,True,True,4177.0,WARNING,PASS,True,True,"[True, 60.126]","[True, 3, 1]",True,True,True,"[True, 0]",True,"[True, 0, 1]","[True, 0]",True,True,True,True,True,True,"[False, 0.682]",True
691,6f6d2c8e-28be-49f4-ae4d-06be2d3148c1,right,True,True,True,True,True,True,4182.0,WARNING,WARNING,True,True,"[True, 150.769]","[True, 3, 0]",True,True,True,"[True, 0]",True,"[True, 32, 0]","[True, 0]",True,True,True,True,True,True,"[True, 5.963]",True
692,6f6d2c8e-28be-49f4-ae4d-06be2d3148c1,body,True,True,True,True,False,True,4192.0,WARNING,PASS,True,True,"[True, 30.154]","[True, 4, 0]",True,True,True,"[True, 0]",True,"[True, 0, 0]",,,True,,,True,,,True
693,88224abb-5746-431f-9c17-17d7ef806e6a,left,True,True,True,True,True,True,4695.0,WARNING,PASS,True,True,"[True, 60.126]","[True, 0, 1]",True,True,True,"[True, 1]",True,"[True, 1, 1]","[True, 0]",True,True,True,True,True,True,"[False, 0.328]",True
