Session ID,Probe ID,Quality (Raw data),Quality (Spike sorting),Discontinuity,Jitter,Horizontal band,Loss of spikes
6713a4a7-faed-4df2-acab-ee4e63326f8d,56f2a378-78d2-4132-b3c8-8c1ba82be598,PASS,PASS,False,False,False,False
56956777-dca5-468c-87cb-78150432cc57,47be9ae4-290f-46ab-b047-952bc3a1a509,PASS,WARNING,True,False,False,False
56956777-dca5-468c-87cb-78150432cc57,6be21156-33b0-4f70-9a0f-65b3e3cd6d4a,PASS,PASS,False,False,False,False
a8a8af78-16de-4841-ab07-fde4b5281a03,1e176f17-d00f-49bb-87ff-26d237b525f1,WARNING,PASS,False,False,False,False
a8a8af78-16de-4841-ab07-fde4b5281a03,701026df-e170-4ca7-88aa-eb0b95ef6ba1,PASS,WARNING,True,False,False,False
032ffcdf-7692-40b3-b9ff-8def1fc18b2e,6506252f-1141-4e11-8816-4db01b71dda0,PASS,PASS,True,False,False,True
032ffcdf-7692-40b3-b9ff-8def1fc18b2e,d213e786-4b1c-477d-a710-766d69fa1ac1,WARNING,PASS,False,False,False,False
8c33abef-3d3e-4d42-9f27-445e9def08f9,8895f61f-1c17-4d2f-8b9b-77476c5261b6,PASS,PASS,False,False,False,True
ebe2efe3-e8a1-451a-8947-76ef42427cc9,73ff4936-8cd3-4a75-a772-f563e67d249d,WARNING,PASS,False,False,False,False
ebe2efe3-e8a1-451a-8947-76ef42427cc9,ac088ddb-9e1e-49ae-b341-46a8445cf809,PASS,PASS,False,False,False,False
77e6dc6a-66ed-433c-b1a2-778c914f523c,7b05cccc-44f6-4491-a0ea-e38d6e95513d,PASS,PASS,False,False,False,False
5569f363-0934-464e-9a5b-77c8e67791a1,99993a2b-588e-4c0c-bfec-e3dfb4f61534,PASS,PASS,False,False,False,False
7af49c00-63dd-4fed-b2e0-1b3bd945b20b,c4b5a9fa-10cb-4195-9c17-15b6a1f77f9a,PASS,PASS,False,False,False,False
7af49c00-63dd-4fed-b2e0-1b3bd945b20b,f93bfce4-e814-4ae3-9cdf-59f4dcdedf51,PASS,PASS,False,False,False,False
f88d4dd4-ccd7-400e-9035-fa00be3bcfa8,decc8d40-cf74-4263-ae9d-a0cc68b47e86,PASS,PASS,False,False,False,False
83d85891-bd75-4557-91b4-1cbb5f8bfc9d,16ad5eef-3fa6-4c75-9296-29bf40c5cfaa,PASS,PASS,False,False,False,False
83d85891-bd75-4557-91b4-1cbb5f8bfc9d,66f810a8-b18d-4b54-9f28-2964dfceccad,PASS,PASS,False,False,False,False
aec5d3cc-4bb2-4349-80a9-0395b76f04e2,7332e6cf-9847-4aca-b2e3-d864989dd0fb,PASS,FAIL,True,True,False,True
aec5d3cc-4bb2-4349-80a9-0395b76f04e2,789fd2ee-c755-46c5-9c6f-260092520216,PASS,FAIL,False,True,False,False
21d21fc3-4201-4edc-802a-c67b61952548,b7c57ce1-a75b-410a-94b6-8abee5a92c4f,PASS,PASS,False,False,False,False
6ed57216-498d-48a6-b48b-a243a34710ea,0909252c-3ad0-413f-96f5-7eff885b50aa,PASS,FAIL,False,True,False,False
6ed57216-498d-48a6-b48b-a243a34710ea,e45a00b1-14a0-4f5e-9ea5-9f76d042b11c,PASS,PASS,False,False,False,False
35ed605c-1a1a-47b1-86ff-2b56144f55af,117f0d28-3cc0-4837-9e3e-46db5bc3e662,PASS,PASS,False,False,False,False
fa1f26a1-eb49-4b24-917e-19f02a18ac61,01864e9d-0dbe-41d4-9e3a-0285348ecfc1,PASS,WARNING,True,False,False,False
fa1f26a1-eb49-4b24-917e-19f02a18ac61,a9e83d8a-7c90-4152-abad-53a1ad94d73a,PASS,PASS,False,False,False,False
ee212778-3903-4f5b-ac4b-a72f22debf03,0777b1bf-964b-49b7-888b-8a6c9df09c3b,PASS,PASS,False,False,False,False
ee212778-3903-4f5b-ac4b-a72f22debf03,9793c99d-f918-4931-8bba-fdb978bd8e0a,PASS,FAIL,False,True,False,True
91a3353a-2da1-420d-8c7c-fad2fedfdd18,08ed0b3c-9f94-4c1f-8522-3d42a642a6b0,PASS,WARNING,False,True,False,False
91a3353a-2da1-420d-8c7c-fad2fedfdd18,a85b9795-f99c-4c1d-a376-8b5ef095ffd7,PASS,PASS,False,False,False,False
5157810e-0fff-4bcf-b19d-32d4e39c7dfc,43b9b189-5221-46a0-928a-e137bc326534,PASS,FAIL,False,True,False,True
5157810e-0fff-4bcf-b19d-32d4e39c7dfc,c410fda5-a6db-4697-a7e3-6ed65601844d,PASS,WARNING,False,False,False,False
8ca740c5-e7fe-430a-aa10-e74e9c3cbbe8,ef7e9f3e-a53a-4e00-8f6a-537667af2bea,PASS,PASS,False,False,False,False
71855308-7e54-41d7-a7a4-b042e78e3b4f,4431f9fd-aaa8-4b10-905c-0c6869ea1088,PASS,PASS,True,False,False,False
71855308-7e54-41d7-a7a4-b042e78e3b4f,5f7766ce-8e2e-410c-9195-6bf089fea4fd,PASS,FAIL,False,True,False,False
f359281f-6941-4bfd-90d4-940be22ed3c3,7441d0df-ef9b-419b-ae4d-b9bd7c2f17cb,PASS,FAIL,False,True,False,False
51e53aff-1d5d-4182-a684-aba783d50ae5,18be19f9-6ca5-4fc8-9220-ba43c3e75905,PASS,PASS,False,False,False,False
51e53aff-1d5d-4182-a684-aba783d50ae5,1a60a6e1-da99-4d4e-a734-39b1d4544fad,PASS,PASS,False,False,False,False
537677fe-1e24-4755-948c-fa4a4e8ecce5,76f16631-cbf7-4883-9437-4e8d8c4f34a3,PASS,FAIL,False,True,False,True
537677fe-1e24-4755-948c-fa4a4e8ecce5,e7080659-8319-48a6-b6fd-2e8ce8eeec49,PASS,PASS,False,False,False,False
5bcafa14-71cb-42fa-8265-ce5cda1b89e0,7c11adc6-adbd-484f-8ae9-13946285e3f8,PASS,FAIL,False,False,False,True
5bcafa14-71cb-42fa-8265-ce5cda1b89e0,e4632651-5ba7-48a7-86db-5298b45a5bac,PASS,WARNING,True,False,False,False
d32876dd-8303-4720-8e7e-20678dc2fd71,98bde8a6-6b6a-4e53-96b1-9078c3974a97,PASS,PASS,False,False,False,True
72982282-e493-45ee-87ce-aa45cb3a3ec1,79fbd14b-bfad-4b28-90a9-3019bf72336f,PASS,PASS,False,True,False,False
72982282-e493-45ee-87ce-aa45cb3a3ec1,a4ed0599-4a72-4afb-8fe9-d0d046aec6aa,PASS,FAIL,False,False,False,False
6434f2f5-6bce-42b8-8563-d93d493613a2,f8249eab-d4c2-4fb0-a258-7f4b99fa19e4,PASS,PASS,False,False,False,False
64e3fb86-928c-4079-865c-b364205b502e,da17779f-7728-4c51-8b54-b88764c0908d,PASS,WARNING,False,True,False,False
15948667-747b-4702-9d53-354ac70e9119,4e6dfe08-cab0-4a05-903b-94283cb9f8e7,PASS,FAIL,False,True,False,False
15948667-747b-4702-9d53-354ac70e9119,7587e3bb-dd11-4853-b48b-feab0b56ae05,PASS,FAIL,False,True,False,False
288bfbf3-3700-4abe-b6e4-130b5c541e61,05ec6af9-6c83-422d-91a3-ba815fa65e92,PASS,FAIL,False,True,False,False
288bfbf3-3700-4abe-b6e4-130b5c541e61,7dcd74a9-fc7a-4c3c-85b9-769d869629ec,PASS,PASS,False,False,False,True
fc43390d-457e-463a-9fd4-b94a0a8b48f5,89606895-287e-4559-8536-9830b047af34,PASS,FAIL,False,True,False,False
a405053a-eb13-4aa4-850c-5a337e5dc7fd,450cea3b-9289-4708-9df2-a2518bdc4b59,PASS,FAIL,False,False,False,True
