,eid,Paw,Pupil,Nose_tip,Licks
150,a4000c2f-fa75-4b3e-8f06-a7cf599b87ad,,,,
151,cc45c568-c3b9-4f74-836e-c87762e898c8,,,,
152,cc45c568-c3b9-4f74-836e-c87762e898c8,,,,
153,a92c4b1d-46bd-457e-a1f4-414265f0e2d4,,,,
154,a92c4b1d-46bd-457e-a1f4-414265f0e2d4,,,,
155,aad23144-0e52-4eac-80c5-c4ee2decb198,,,,
156,aad23144-0e52-4eac-80c5-c4ee2decb198,,,,
157,8c552ddc-813e-4035-81cc-3971b57efe65,,,,
158,8c552ddc-813e-4035-81cc-3971b57efe65,,,,
159,07dc4b76-5b93-4a03-82a0-b3d9cc73f412,,,,
160,07dc4b76-5b93-4a03-82a0-b3d9cc73f412,,,,
161,9468fa93-21ae-4984-955c-e8402e280c83,,,,
162,9468fa93-21ae-4984-955c-e8402e280c83,,,,
163,e5c75b62-6871-4135-b3d0-f6464c2d90c0,,,,
164,e5c75b62-6871-4135-b3d0-f6464c2d90c0,,,,
165,a6fe44a8-07ab-49b8-81f9-e18575aa85cc,,,,
166,a6fe44a8-07ab-49b8-81f9-e18575aa85cc,,,,
167,781b35fd-e1f0-4d14-b2bb-95b7263082bb,,,,
168,781b35fd-e1f0-4d14-b2bb-95b7263082bb,,,,
169,571d3ffe-54a5-473d-a265-5dc373eb7efc,,,,
170,571d3ffe-54a5-473d-a265-5dc373eb7efc,,,,
171,0ac8d013-b91e-4732-bc7b-a1164ff3e445,,,,
172,0ac8d013-b91e-4732-bc7b-a1164ff3e445,,,,
173,69c9a415-f7fa-4208-887b-1417c1479b48,,,,
174,69c9a415-f7fa-4208-887b-1417c1479b48,,,,
175,dfbe628d-365b-461c-a07f-8b9911ba83aa,,,,
176,dfbe628d-365b-461c-a07f-8b9911ba83aa,,,,
177,aa3432cd-62bd-40bc-bc1c-a12d53bcbdcf,,,,
178,aa3432cd-62bd-40bc-bc1c-a12d53bcbdcf,,,,
179,0a018f12-ee06-4b11-97aa-bbbff5448e9f,,,,
180,4503697e-af44-47d9-898d-4924be990240,,,,
181,7082d8ff-255a-47d7-a839-bf093483ec30,,,,
182,7082d8ff-255a-47d7-a839-bf093483ec30,,,,
183,ac7d3064-7f09-48a3-88d2-e86a4eb86461,,,,
184,ac7d3064-7f09-48a3-88d2-e86a4eb86461,,,,
185,b22f694e-4a34-4142-ab9d-2556c3487086,,,,
186,b22f694e-4a34-4142-ab9d-2556c3487086,,,,
187,872ce8ff-9fb3-485c-be00-bc5479e0095b,,,,
188,872ce8ff-9fb3-485c-be00-bc5479e0095b,,,,
189,1b715600-0cbc-442c-bd00-5b0ac2865de1,,,,
190,1b715600-0cbc-442c-bd00-5b0ac2865de1,,,,
191,e45481fa-be22-4365-972c-e7404ed8ab5a,,,,
192,e45481fa-be22-4365-972c-e7404ed8ab5a,,,,
193,ffef0311-8ffa-49e3-a857-b3adf6d86e12,PASS,PASS,PASS,PASS
194,78b4fff5-c5ec-44d9-b5f9-d59493063f00,,,,
195,78b4fff5-c5ec-44d9-b5f9-d59493063f00,,,,
196,196a2adf-ff83-49b2-823a-33f990049c2e,,,,
197,196a2adf-ff83-49b2-823a-33f990049c2e,,,,
198,6b0b5d24-bcda-4053-a59c-beaa1fe03b8f,,,,
199,6b0b5d24-bcda-4053-a59c-beaa1fe03b8f,,,,
200,752456f3-9f47-4fbf-bd44-9d131c0f41aa,,,,
201,752456f3-9f47-4fbf-bd44-9d131c0f41aa,,,,
202,3f859b5c-e73a-4044-b49e-34bb81e96715,,,,
203,3f859b5c-e73a-4044-b49e-34bb81e96715,,,,
204,c8d46ee6-eb68-4535-8756-7c9aa32f10e4,,,,
205,1b9e349e-93f2-41cc-a4b5-b212d7ddc8df,,,,
206,1b9e349e-93f2-41cc-a4b5-b212d7ddc8df,,,,
207,f819d499-8bf7-4da0-a431-15377a8319d5,,,,
208,f819d499-8bf7-4da0-a431-15377a8319d5,,,,
209,8928f98a-b411-497e-aa4b-aa752434686d,,,,
210,8928f98a-b411-497e-aa4b-aa752434686d,,,,
211,446f4724-1690-49f9-819a-2bd8e2ea88ce,,,,
212,a2701b93-d8e1-47e9-a819-f1063046f3e7,,,,
213,0f25376f-2b78-4ddc-8c39-b6cdbe7bf5b9,PASS,PASS,PASS,PASS
214,ee13c19e-2790-4418-97ca-48f02e8013bb,PASS,PASS,PASS,PASS
215,db4df448-e449-4a6f-a0e7-288711e7a75a,PASS,PASS,PASS,PASS
216,3dd347df-f14e-40d5-9ff2-9c49f84d2157,PASS,WARNING,PASS,PASS
217,3c851386-e92d-4533-8d55-89a46f0e7384,PASS,PASS,PASS,PASS
218,158d5d35-a2ab-4a76-87b0-51048c5d5283,PASS,WARNING,PASS,PASS
219,30e5937e-e86a-47e6-93ae-d2ae3877ff8e,PASS,WARNING,PASS,PASS
220,413a6825-2144-4a50-b3fc-cf38ddd6fd1a,PASS,PASS,PASS,PASS
221,a19c7a3a-7261-42ce-95d5-1f4ca46007ed,PASS,PASS,PASS,PASS
222,e5c772cd-9c92-47ab-9525-d618b66a9b5d,PASS,WARNING,PASS,PASS
223,6668c4a0-70a4-4012-a7da-709660971d7a,PASS,PASS,PASS,PASS
224,4fa70097-8101-4f10-b585-db39429c5ed0,PASS,WARNING,PASS,PASS
225,90d1e82c-c96f-496c-ad4e-ee3f02067f25,PASS,PASS,PASS,PASS
226,bb6a5aae-2431-401d-8f6a-9fdd6de655a9,PASS,WARNING,PASS,PASS
227,931a70ae-90ee-448e-bedb-9d41f3eda647,PASS,PASS,PASS,PASS
228,02fbb6da-3034-47d6-a61b-7d06c796a830,PASS,PASS,PASS,PASS
229,7bee9f09-a238-42cf-b499-f51f765c6ded,PASS,WARNING,PASS,PASS
230,36280321-555b-446d-9b7d-c2e17991e090,PASS,FAIL,PASS,PASS
231,741979ce-3f10-443a-8526-2275620c8473,PASS,PASS,PASS,PASS
232,cf43dbb1-6992-40ec-a5f9-e8e838d0f643,PASS,FAIL,PASS,PASS
233,2f63c555-eb74-4d8d-ada5-5c3ecf3b46be,PASS,WARNING,PASS,PASS
234,9a629642-3a9c-42ed-b70a-532db0e86199,,,,
235,e535fb62-e245-4a48-b119-88ce62a6fe67,PASS,PASS,PASS,PASS
236,e535fb62-e245-4a48-b119-88ce62a6fe67,PASS,PASS,PASS,PASS
237,f25642c6-27a5-4a97-9ea0-06652db79fbd,PASS,PASS,PASS,PASS
238,f25642c6-27a5-4a97-9ea0-06652db79fbd,PASS,PASS,PASS,PASS
239,4720c98a-a305-4fba-affb-bbfa00a724a4,PASS,WARNING,PASS,PASS
240,4720c98a-a305-4fba-affb-bbfa00a724a4,PASS,WARNING,PASS,PASS
241,7622da34-51b6-4661-98ae-a57d40806008,PASS,WARNING,PASS,PASS
242,7622da34-51b6-4661-98ae-a57d40806008,PASS,WARNING,PASS,PASS
243,b658bc7d-07cd-4203-8a25-7b16b549851b,PASS,WARNING,PASS,PASS
244,b658bc7d-07cd-4203-8a25-7b16b549851b,PASS,WARNING,PASS,PASS
245,bd456d8f-d36e-434a-8051-ff3997253802,PASS,PASS,PASS,PASS
246,bd456d8f-d36e-434a-8051-ff3997253802,PASS,PASS,PASS,PASS
247,ee8b36de-779f-4dea-901f-e0141c95722b,PASS,PASS,PASS,PASS
248,ee8b36de-779f-4dea-901f-e0141c95722b,PASS,PASS,PASS,PASS
249,b39752db-abdb-47ab-ae78-e8608bbf50ed,PASS,PASS,PASS,PASS
250,b39752db-abdb-47ab-ae78-e8608bbf50ed,PASS,PASS,PASS,PASS
251,5339812f-8b91-40ba-9d8f-a559563cc46b,PASS,WARNING,PASS,PASS
252,5339812f-8b91-40ba-9d8f-a559563cc46b,PASS,WARNING,PASS,PASS
253,d23a44ef-1402-4ed7-97f5-47e9a7a504d9,PASS,WARNING,PASS,PASS
254,d23a44ef-1402-4ed7-97f5-47e9a7a504d9,PASS,WARNING,PASS,PASS
255,c3d9b6fb-7fa9-4413-a364-92a54df0fc5d,PASS,WARNING,PASS,PASS
256,c3d9b6fb-7fa9-4413-a364-92a54df0fc5d,PASS,WARNING,PASS,PASS
257,aa20388b-9ea3-4506-92f1-3c2be84b85db,PASS,WARNING,PASS,PASS
258,aa20388b-9ea3-4506-92f1-3c2be84b85db,PASS,WARNING,PASS,PASS
259,251ece37-7798-477c-8a06-2845d4aa270c,PASS,WARNING,PASS,PASS
260,251ece37-7798-477c-8a06-2845d4aa270c,PASS,WARNING,PASS,PASS
261,54238fd6-d2d0-4408-b1a9-d19d24fd29ce,PASS,PASS,PASS,PASS
262,e8b4fda3-7fe4-4706-8ec2-91036cfee6bd,PASS,PASS,PASS,PASS
263,e8b4fda3-7fe4-4706-8ec2-91036cfee6bd,PASS,PASS,PASS,PASS
264,cde63527-7f5a-4cc3-8ac2-215d82e7da26,PASS,PASS,PASS,PASS
265,4a45c8ba-db6f-4f11-9403-56e06a33dfa4,PASS,WARNING,PASS,PASS
266,4a45c8ba-db6f-4f11-9403-56e06a33dfa4,PASS,WARNING,PASS,PASS
267,f7335a49-4a98-46d2-a8ce-d041d2eac1d6,PASS,WARNING,PASS,PASS
268,f7335a49-4a98-46d2-a8ce-d041d2eac1d6,PASS,WARNING,PASS,PASS
269,9eec761e-9762-4897-b308-a3a08c311e69,PASS,PASS,PASS,PASS
270,9eec761e-9762-4897-b308-a3a08c311e69,PASS,PASS,PASS,PASS
271,9fe512b8-92a8-4642-83b6-01158ab66c3c,PASS,WARNING,PASS,PASS
272,9fe512b8-92a8-4642-83b6-01158ab66c3c,PASS,WARNING,PASS,PASS
273,26aa51ff-968c-42e4-85c8-8ff47d19254d,PASS,WARNING,PASS,PASS
274,26aa51ff-968c-42e4-85c8-8ff47d19254d,PASS,WARNING,PASS,PASS
275,e012d3e3-fdbc-4661-9ffa-5fa284e4e706,PASS,WARNING,PASS,PASS
276,e012d3e3-fdbc-4661-9ffa-5fa284e4e706,PASS,WARNING,PASS,PASS
277,948fd27b-507b-41b3-bdf8-f9f5f0af8e0b,PASS,WARNING,PASS,PASS
278,948fd27b-507b-41b3-bdf8-f9f5f0af8e0b,PASS,WARNING,PASS,PASS
279,2e22c1fc-eec6-4856-85a0-7dba8668f646,PASS,WARNING,PASS,PASS
280,2e22c1fc-eec6-4856-85a0-7dba8668f646,PASS,WARNING,PASS,PASS
281,64977c74-9c04-437a-9ea1-50386c4996db,PASS,WARNING,PASS,FAIL
282,9a6e127b-bb07-4be2-92e2-53dd858c2762,PASS,WARNING,PASS,PASS
283,09156021-9a1d-4e1d-ae59-48cbde3c5d42,PASS,PASS,PASS,PASS
284,90e524a2-aa63-47ce-b5b8-1b1941a1223a,PASS,PASS,PASS,FAIL
285,1d4a7bd6-296a-48b9-b20e-bd0ac80750a5,PASS,FAIL,PASS,FAIL
286,58c4bf97-ec3b-45b4-9db4-d5d9515d5b00,PASS,WARNING,PASS,PASS
287,10fac7a1-919d-4ca7-83c4-4675bd8d9416,PASS,FAIL,PASS,PASS
288,8b1f4024-3d96-4ee7-95f9-8a1dfd4ce4ef,PASS,WARNING,PASS,WARNING
289,68775ca0-b056-48d5-b6ae-a4c2a76ae48f,PASS,WARNING,PASS,PASS
290,f27e6cd6-cdd3-4524-b8e3-8146046e2a7d,PASS,WARNING,PASS,WARNING
291,1b61b7f2-a599-4e40-abd6-3e758d2c9e25,PASS,WARNING,PASS,PASS
292,cea755db-4eee-4138-bdd6-fc23a572f5a1,,,,
293,30af8629-7b96-45b7-8778-374720ddbc5e,PASS,PASS,PASS,FAIL
294,66d98e6e-bcd9-4e78-8fbb-636f7e808b29,FAIL,FAIL,FAIL,FAIL
295,f9860a11-24d3-452e-ab95-39e199f20a93,PASS,FAIL,PASS,FAIL
296,f9860a11-24d3-452e-ab95-39e199f20a93,PASS,FAIL,PASS,FAIL
297,f3ce3197-d534-4618-bf81-b687555d1883,PASS,WARNING,PASS,FAIL
298,6f09ba7e-e3ce-44b0-932b-c003fb44fb89,PASS,WARNING,PASS,PASS
299,6f09ba7e-e3ce-44b0-932b-c003fb44fb89,PASS,WARNING,PASS,PASS
300,695a6073-eae0-49e0-bb0f-e9e57a9275b9,WARNING,WARNING,WARNING,WARNING
301,6fb1e12c-883b-46d1-a745-473cde3232c8,PASS,WARNING,PASS,PASS
302,88d24c31-52e4-49cc-9f32-6adbeb9eba87,PASS,WARNING,PASS,PASS
303,c6db3304-c906-400c-aa0f-45dd3945b2ea,PASS,WARNING,PASS,PASS
304,4ecb5d24-f5cc-402c-be28-9d0f7cb14b3a,PASS,WARNING,PASS,PASS
305,4ecb5d24-f5cc-402c-be28-9d0f7cb14b3a,PASS,WARNING,PASS,PASS
306,dac3a4c1-b666-4de0-87e8-8c514483cacf,PASS,WARNING,PASS,PASS
307,dac3a4c1-b666-4de0-87e8-8c514483cacf,PASS,WARNING,PASS,PASS
308,875c1e5c-f7ec-45ac-ab82-ecfe7276a707,PASS,WARNING,PASS,PASS
309,875c1e5c-f7ec-45ac-ab82-ecfe7276a707,PASS,WARNING,PASS,PASS
310,81a1dca0-cc90-47c5-afe3-c277319c47c8,PASS,WARNING,PASS,PASS
311,81a1dca0-cc90-47c5-afe3-c277319c47c8,PASS,WARNING,PASS,PASS
312,493170a6-fd94-4ee4-884f-cc018c17eeb9,,,,
313,493170a6-fd94-4ee4-884f-cc018c17eeb9,,,,
314,360eac0c-7d2d-4cc1-9dcf-79fc7afc56e7,PASS,PASS,PASS,PASS
315,360eac0c-7d2d-4cc1-9dcf-79fc7afc56e7,PASS,PASS,PASS,PASS
316,d7e60cc3-6020-429e-a654-636c6cc677ea,PASS,WARNING,PASS,PASS
317,d7e60cc3-6020-429e-a654-636c6cc677ea,PASS,WARNING,PASS,PASS
318,f4ffb731-8349-4fe4-806e-0232a84e52dd,,,,
319,a4747ac8-6a75-444f-b99b-696fff0243fd,PASS,WARNING,PASS,PASS
320,c4432264-e1ae-446f-8a07-6280abade813,PASS,WARNING,PASS,PASS
321,c4432264-e1ae-446f-8a07-6280abade813,PASS,WARNING,PASS,PASS
322,9e9c6fc0-4769-4d83-9ea4-b59a1230510e,PASS,WARNING,PASS,PASS
323,09b2c4d1-058d-4c84-9fd4-97530f85baf6,PASS,PASS,PASS,PASS
324,09b2c4d1-058d-4c84-9fd4-97530f85baf6,PASS,PASS,PASS,PASS
325,5d6aa933-4b00-4e99-ae2d-5003657592e9,PASS,PASS,PASS,PASS
326,5d6aa933-4b00-4e99-ae2d-5003657592e9,PASS,PASS,PASS,PASS
327,63f3dbc1-1a5f-44e5-98dd-ce25cd2b7871,PASS,PASS,PASS,PASS
328,746d1902-fa59-4cab-b0aa-013be36060d5,PASS,PASS,PASS,PASS
329,746d1902-fa59-4cab-b0aa-013be36060d5,PASS,PASS,PASS,PASS
330,5b609f9b-75cb-43d3-9c39-b5b4b7a0db67,PASS,PASS,PASS,PASS
331,5b609f9b-75cb-43d3-9c39-b5b4b7a0db67,PASS,PASS,PASS,PASS
332,56bc129c-6265-407a-a208-cc16d20a6c01,PASS,PASS,PASS,PASS
333,1a507308-c63a-4e02-8f32-3239a07dc578,PASS,WARNING,PASS,PASS
