source name,source #neur,target name,target #neur,Granger score,corrected p,eid
CENT2,77,LP,69,0.004532807669731342,0.014241301281867801,56b57c38-2699-4091-90a8-aba35103155e
SSp-ul,24,LSr,23,0.00453199334913942,0.014241301281867801,b658bc7d-07cd-4203-8a25-7b16b549851b
PAG,23,RSPd,13,0.004531944919287232,0.42744357601539795,5522ac4b-0e41-4c53-836a-aaa17e82b9eb
SI,16,FS,11,0.00452843713092085,0.014241301281867801,9b5a1754-ac99-4d53-97d3-35c2f6638507
CP,13,SSp-n,20,0.004523552214784951,1.0,8c552ddc-813e-4035-81cc-3971b57efe65
PAG,33,PPN,19,0.004522829370151122,0.014241301281867801,9eec761e-9762-4897-b308-a3a08c311e69
CA1,62,VISal,13,0.004521159601298896,1.0,9a6e127b-bb07-4be2-92e2-53dd858c2762
MV,22,SIM,52,0.0045186549423310044,1.0,6668c4a0-70a4-4012-a7da-709660971d7a
MV,14,CUL4 5,19,0.004517823068434139,0.014241301281867801,8928f98a-b411-497e-aa4b-aa752434686d
VAL,36,VISrl,19,0.0045111932275734646,1.0,034e726f-b35f-41e0-8d6c-a22cc32391fb
SPVO,14,I5,11,0.004507721129774562,0.4631173842605353,c3d9b6fb-7fa9-4413-a364-92a54df0fc5d
MRN,20,FC,12,0.004501598244066365,0.014241301281867801,edd22318-216c-44ff-bc24-49ce8be78374
SGN,22,DG,17,0.0045000245147558075,0.18159949872613312,7af49c00-63dd-4fed-b2e0-1b3bd945b20b
VISa,51,LP,52,0.004499520263967774,1.0,2bdf206a-820f-402f-920a-9e86cd5388a4
GRN,22,CUL4 5,219,0.004498123470184794,0.014241301281867801,f10efe41-0dc0-44d0-8f26-5ff68dca23e9
LSr,13,ACB,81,0.004495312068887727,0.014241301281867801,2c44a360-5a56-4971-8009-f469fb59de98
LIN,11,PARN,15,0.004493712691960332,0.014241301281867801,7939711b-8b4d-4251-b698-b97c1eaa846e
ACAv,19,ACAd,12,0.004493343489574007,0.20630701965881137,9468fa93-21ae-4984-955c-e8402e280c83
PO,120,VPM,20,0.004491650784852652,0.1564560044851933,19e66dc9-bf9f-430b-9d6a-acfa85de6fb7
PAG,23,SSp-n,20,0.004491025714786569,0.014241301281867801,8c552ddc-813e-4035-81cc-3971b57efe65
CA1,26,RSPagl,15,0.004489234501890263,0.014241301281867801,eacc49a9-f3a1-49f1-b87f-0972f90ee837
CUN,11,RT,12,0.00448557624124645,0.014241301281867801,948fd27b-507b-41b3-bdf8-f9f5f0af8e0b
NTS,11,SUV,39,0.00447715618306368,0.014241301281867801,15948667-747b-4702-9d53-354ac70e9119
RSPv,23,SCm,13,0.00447643549394765,0.014241301281867801,f819d499-8bf7-4da0-a431-15377a8319d5
CUL4 5,155,MV,21,0.0044756038833783625,0.014241301281867801,72cb5550-43b4-4ef0-add5-e4adfdfb5e02
RT,12,LD,14,0.004474629431718256,1.0,948fd27b-507b-41b3-bdf8-f9f5f0af8e0b
CL,17,CP,47,0.004474221299067844,1.0,b39752db-abdb-47ab-ae78-e8608bbf50ed
RT,69,PARN,24,0.004474063684429912,0.014241301281867801,2e22c1fc-eec6-4856-85a0-7dba8668f646
SUB,59,ProS,16,0.004471391911665301,0.014241301281867801,111c1762-7908-47e0-9f40-2f2ee55b6505
MD,14,LP,11,0.004469076876188991,0.014241301281867801,e6043c7d-8f6e-4b66-8309-2ec0abac0f79
VISa,52,LP,57,0.004464725837404751,0.014241301281867801,f312aaec-3b6f-44b3-86b4-3a0c119c0438
MD,24,PAG,19,0.004464471500227271,0.014241301281867801,3d59aa1a-b4ba-47fe-b9cf-741b5fdb0c7b
LP,33,VISa,32,0.004463876442096537,0.014241301281867801,8928f98a-b411-497e-aa4b-aa752434686d
PO,36,PB,25,0.004462802208763721,0.2562440568768836,6ed57216-498d-48a6-b48b-a243a34710ea
APN,19,VISp,24,0.0044613735548785895,0.014241301281867801,0c828385-6dd6-4842-a702-c5075f5f5e81
APN,12,ZI,15,0.004459089007465003,0.6519531783684529,a82800ce-f4e3-4464-9b80-4c3d6fade333
PRE,47,PAR,36,0.004454417330244114,0.5337351660924321,6274dda8-3a59-4aa1-95f8-a8a549c46a26
IP,32,DCO,15,0.004454052506977675,0.014241301281867801,b10ed1ba-2099-42c4-bee3-d053eb594f09
CA3,21,LD,16,0.004453984847334884,0.4866405540236666,5adab0b7-dfd0-467d-b09d-43cb7ca5d59c
SCm,28,SUB,16,0.004453782741634318,0.014241301281867801,85dc2ebd-8aaf-46b0-9284-a197aee8b16f
VISrl,19,LGd,30,0.004453763216240254,1.0,034e726f-b35f-41e0-8d6c-a22cc32391fb
VISa,29,LP,14,0.004453661413615266,0.014241301281867801,02fbb6da-3034-47d6-a61b-7d06c796a830
GPi,19,MV,28,0.004451848619381475,0.014241301281867801,2e22c1fc-eec6-4856-85a0-7dba8668f646
CUL4 5,13,GRN,68,0.004448157154496075,0.014241301281867801,25d1920e-a2af-4b6c-9f2e-fc6c65576544
